"subject","trial","action","object","location","relation","...7","step"
4,7,"stepnear",NA,NA,NA,NA,1
4,7,"pickup","teabag","box","from",NA,2
4,7,"put","teabag","mug","into",NA,3
4,7,"pickup","kettle","table","from",NA,4
4,7,"pour","water","mug","into",NA,5
4,7,"put","kettle","table","on",NA,6
4,7,"pickup","shaker","table","from",NA,7
4,7,"pour","sugar","mug","into",NA,8
4,7,"put","shaker","table","on",NA,9
4,7,"pickup","shaker","table","from",NA,10
4,7,"pour","sugar","mug","into",NA,11
4,7,"put","shaker","table","on",NA,12
4,7,"pickup","spoon","table","from",NA,13
4,7,"mix","tea","mug","in",NA,14
4,7,"put","spoon","table","on",NA,15
4,7,"pickup","mug","table","from",NA,16
4,7,"drink",NA,NA,NA,NA,17
