"subject","trial","action","object","location","relation","...7","step"
8,8,"stepnear",NA,NA,NA,NA,1
8,8,"pickup","teabag","box","from",NA,2
8,8,"put","teabag","mug","into",NA,3
8,8,"pickup","kettle","table","from",NA,4
8,8,"pour","water","mug","into",NA,5
8,8,"put","kettle","table","on",NA,6
8,8,"pickup","spoon","table","from",NA,7
8,8,"pickup","teabag","mug","from",NA,8
8,8,"put","spoon","table","on",NA,9
8,8,"put","teabag","cup","into",NA,10
8,8,"pickup","shaker","table","from",NA,11
8,8,"pickup","spoon","table","from",NA,12
8,8,"pour","sugar","mug","into",NA,13
8,8,"put","shaker","table","on",NA,14
8,8,"mix","tea","mug","in",NA,15
8,8,"put","spoon","table","on",NA,16
8,8,"pickup","mug","table","from",NA,17
8,8,"drink",NA,NA,NA,NA,18
