"subject","trial","action","object","location","relation","...7","step"
6,6,"stepnear",NA,NA,NA,NA,1
6,6,"pickup","kettle","table","from",NA,2
6,6,"pour","water","mug","into",NA,3
6,6,"put","kettle","table","on",NA,4
6,6,"pickup","teabag","box","from",NA,5
6,6,"put","teabag","mug","into",NA,6
6,6,"pickup","shaker","table","from",NA,7
6,6,"pour","sugar","mug","into",NA,8
6,6,"put","shaker","table","on",NA,9
6,6,"pickup","spoon","table","from",NA,10
6,6,"mix","tea","mug","in",NA,11
6,6,"pickup","teabag","mug","from",NA,12
6,6,"put","teabag","cup","into",NA,13
6,6,"pickup","mug","table","from",NA,14
6,6,"drink",NA,NA,NA,NA,15
