"subject","trial","action","object","location","relation","...7","step"
4,4,"stepnear",NA,NA,NA,NA,1
4,4,"pickup","mug","table","from",NA,2
4,4,"put","mug","table","on",NA,3
4,4,"pickup","kettle","table","from",NA,4
4,4,"pour","water","mug","into",NA,5
4,4,"put","kettle","table","on",NA,6
4,4,"pickup","teabag","box","from",NA,7
4,4,"put","teabag","mug","into",NA,8
4,4,"pickup","shaker","table","from",NA,9
4,4,"pour","sugar","mug","into",NA,10
4,4,"put","shaker","table","on",NA,11
4,4,"pickup","teabag","mug","from",NA,12
4,4,"put","teabag","cup","into",NA,13
4,4,"pickup","spoon","table","from",NA,14
4,4,"mix","tea","mug","in",NA,15
4,4,"put","spoon","table","on",NA,16
4,4,"pickup","mug","table","from",NA,17
4,4,"drink",NA,NA,NA,NA,18
