"subject","trial","action","object","location","relation","...7","step"
3,2,"stepnear",NA,NA,NA,NA,1
3,2,"pickup","kettle","table","from",NA,2
3,2,"pour","water","mug","into",NA,3
3,2,"put","kettle","table","on",NA,4
3,2,"pickup","teabag","box","from",NA,5
3,2,"put","teabag","mug","into",NA,6
3,2,"pickup","shaker","table","from",NA,7
3,2,"pour","sugar","mug","into",NA,8
3,2,"put","shaker","table","on",NA,9
3,2,"pickup","teabag","mug","from",NA,10
3,2,"put","teabag","cup","into",NA,11
3,2,"pickup","spoon","table","from",NA,12
3,2,"mix","tea","mug","in",NA,13
3,2,"put","spoon","table","on",NA,14
3,2,"pickup","mug","table","from",NA,15
3,2,"drink",NA,NA,NA,NA,16
