"subject","trial","action","object","location","relation","...7","step"
7,11,"stepnear",NA,NA,NA,NA,1
7,11,"pickup","mug","table","from",NA,2
7,11,"pickup","kettle","table","from",NA,3
7,11,"pour","water","mug","into",NA,4
7,11,"put","kettle","table","on",NA,5
7,11,"put","mug","table","on",NA,6
7,11,"pickup","teabag","box","from",NA,7
7,11,"put","teabag","mug","into",NA,8
7,11,"pickup","spoon","table","from",NA,9
7,11,"mix","tea","mug","in",NA,10
7,11,"pickup","teabag","mug","from",NA,11
7,11,"put","spoon","table","on",NA,12
7,11,"put","teabag","cup","into",NA,13
7,11,"pickup","shaker","table","from",NA,14
7,11,"pour","sugar","mug","into",NA,15
7,11,"put","shaker","table","on",NA,16
7,11,"pickup","mug","table","from",NA,17
7,11,"drink",NA,NA,NA,NA,18
