"subject","trial","action","object","location","relation","...7","step"
4,2,"stepnear",NA,NA,NA,NA,1
4,2,"pickup","mug","table","from",NA,2
4,2,"put","mug","table","on",NA,3
4,2,"pickup","kettle","table","from",NA,4
4,2,"put","kettle","table","on",NA,5
4,2,"pickup","teabag","box","from",NA,6
4,2,"put","teabag","mug","into",NA,7
4,2,"pickup","kettle","table","from",NA,8
4,2,"pour","water","mug","into",NA,9
4,2,"put","kettle","table","on",NA,10
4,2,"pickup","shaker","table","from",NA,11
4,2,"pour","sugar","mug","into",NA,12
4,2,"put","shaker","table","on",NA,13
4,2,"pickup","spoon","table","from",NA,14
4,2,"mix","tea","mug","in",NA,15
4,2,"put","spoon","table","on",NA,16
4,2,"pickup","teabag","mug","from",NA,17
4,2,"put","teabag","cup","into",NA,18
4,2,"pickup","mug","table","from",NA,19
4,2,"drink",NA,NA,NA,NA,20
