"subject","trial","action","object","location","relation","...7","step"
6,5,"stepnear",NA,NA,NA,NA,1
6,5,"pickup","kettle","table","from",NA,2
6,5,"pour","water","mug","into",NA,3
6,5,"put","kettle","table","on",NA,4
6,5,"pickup","teabag","box","from",NA,5
6,5,"put","teabag","mug","into",NA,6
6,5,"pickup","spoon","table","from",NA,7
6,5,"mix","tea","mug","in",NA,8
6,5,"pickup","shaker","table","from",NA,9
6,5,"pour","sugar","mug","into",NA,10
6,5,"put","shaker","table","on",NA,11
6,5,"mix","tea","mug","in",NA,12
6,5,"pickup","teabag","mug","from",NA,13
6,5,"put","teabag","cup","into",NA,14
6,5,"mix","tea","mug","in",NA,15
6,5,"pickup","mug","table","from",NA,16
6,5,"drink",NA,NA,NA,NA,17
