"subject","trial","action","object","location","relation","...7","step"
6,4,"stepnear",NA,NA,NA,NA,1
6,4,"pickup","kettle","table","from",NA,2
6,4,"pour","water","mug","into",NA,3
6,4,"put","kettle","table","on",NA,4
6,4,"pickup","teabag","box","from",NA,5
6,4,"put","teabag","mug","into",NA,6
6,4,"pickup","spoon","table","from",NA,7
6,4,"mix","tea","mug","in",NA,8
6,4,"pickup","shaker","table","from",NA,9
6,4,"pour","sugar","mug","into",NA,10
6,4,"put","shaker","table","on",NA,11
6,4,"mix","tea","mug","in",NA,12
6,4,"pickup","teabag","mug","from",NA,13
6,4,"put","teabag","cup","into",NA,14
6,4,"put","spoon","table","on",NA,15
6,4,"pickup","mug","table","from",NA,16
6,4,"drink",NA,NA,NA,NA,17
