"subject","trial","action","object","location","relation","...7","step"
2,9,"stepnear",NA,NA,NA,NA,1
2,9,"pickup","teabag","box","from",NA,2
2,9,"put","teabag","mug","into",NA,3
2,9,"pickup","kettle","table","from",NA,4
2,9,"pour","water","mug","into",NA,5
2,9,"put","kettle","table","on",NA,6
2,9,"pickup","shaker","table","from",NA,7
2,9,"put","shaker","table","on",NA,8
2,9,"pickup","teabag","mug","from",NA,9
2,9,"put","teabag","cup","into",NA,10
2,9,"pickup","shaker","table","from",NA,11
2,9,"pour","sugar","mug","into",NA,12
2,9,"put","shaker","table","on",NA,13
2,9,"pickup","spoon","table","from",NA,14
2,9,"mix","tea","mug","in",NA,15
2,9,"put","spoon","table","on",NA,16
2,9,"pickup","mug","table","from",NA,17
2,9,"drink",NA,NA,NA,NA,18
