"subject","trial","action","object","location","relation","...7","step"
5,10,"stepnear",NA,NA,NA,NA,1
5,10,"pickup","mug","table","from",NA,2
5,10,"put","mug","table","on",NA,3
5,10,"pickup","teabag","box","from",NA,4
5,10,"put","teabag","mug","into",NA,5
5,10,"pickup","kettle","table","from",NA,6
5,10,"pour","water","mug","into",NA,7
5,10,"put","kettle","table","on",NA,8
5,10,"pickup","teabag","mug","from",NA,9
5,10,"put","teabag","cup","into",NA,10
5,10,"pickup","shaker","table","from",NA,11
5,10,"pour","sugar","mug","into",NA,12
5,10,"put","shaker","table","on",NA,13
5,10,"pickup","spoon","table","from",NA,14
5,10,"mix","tea","mug","in",NA,15
5,10,"put","spoon","table","on",NA,16
5,10,"pickup","mug","table","from",NA,17
5,10,"drink",NA,NA,NA,NA,18
