"subject","trial","action","object","location","relation","...7","step"
2,1,"stepnear",NA,NA,NA,NA,1
2,1,"pickup","teabag","box","from",NA,2
2,1,"put","teabag","mug","into",NA,3
2,1,"pickup","kettle","table","from",NA,4
2,1,"pour","water","mug","into",NA,5
2,1,"put","kettle","table","on",NA,6
2,1,"pickup","teabag","box","from",NA,7
2,1,"put","teabag","mug","into",NA,8
2,1,"pickup","teabag","mug","from",NA,9
2,1,"put","teabag","cup","into",NA,10
2,1,"pickup","spoon","table","from",NA,11
2,1,"mix","tea","mug","in",NA,12
2,1,"pickup","shaker","table","from",NA,13
2,1,"pour","sugar","mug","into",NA,14
2,1,"put","shaker","table","on",NA,15
2,1,"mix","tea","mug","in",NA,16
2,1,"put","spoon","table","on",NA,17
2,1,"pickup","mug","table","from",NA,18
2,1,"drink",NA,NA,NA,NA,19
