"subject","trial","action","object","location","relation","...7","step"
7,3,"stepnear",NA,NA,NA,NA,1
7,3,"pickup","kettle","table","from",NA,2
7,3,"pour","water","mug","into",NA,3
7,3,"put","kettle","table","on",NA,4
7,3,"pickup","teabag","box","from",NA,5
7,3,"put","teabag","mug","into",NA,6
7,3,"pickup","spoon","table","from",NA,7
7,3,"mix","tea","mug","in",NA,8
7,3,"put","spoon","table","on",NA,9
7,3,"pickup","teabag","mug","from",NA,10
7,3,"put","teabag","cup","into",NA,11
7,3,"pickup","shaker","table","from",NA,12
7,3,"pour","sugar","mug","into",NA,13
7,3,"put","shaker","table","on",NA,14
7,3,"pickup","mug","table","from",NA,15
7,3,"drink",NA,NA,NA,NA,16
