"subject","trial","action","object","location","relation","...7","step"
7,9,"stepnear",NA,NA,NA,NA,1
7,9,"pickup","mug","table","from",NA,2
7,9,"pickup","kettle","table","from",NA,3
7,9,"put","mug","table","on",NA,4
7,9,"pour","water","mug","into",NA,5
7,9,"put","kettle","table","on",NA,6
7,9,"pickup","teabag","box","from",NA,7
7,9,"put","teabag","mug","into",NA,8
7,9,"pickup","spoon","table","from",NA,9
7,9,"mix","tea","mug","in",NA,10
7,9,"pickup","teabag","mug","from",NA,11
7,9,"put","spoon","table","on",NA,12
7,9,"put","teabag","cup","into",NA,13
7,9,"pickup","mug","table","from",NA,14
7,9,"drink",NA,NA,NA,NA,15
