"subject","trial","action","object","location","relation","...7","step"
8,4,"stepnear",NA,NA,NA,NA,1
8,4,"pickup","mug","table","from",NA,2
8,4,"put","mug","table","on",NA,3
8,4,"pickup","teabag","box","from",NA,4
8,4,"put","teabag","mug","into",NA,5
8,4,"pickup","kettle","table","from",NA,6
8,4,"pour","water","mug","into",NA,7
8,4,"put","kettle","table","on",NA,8
8,4,"pickup","spoon","table","from",NA,9
8,4,"pickup","teabag","mug","from",NA,10
8,4,"put","teabag","cup","into",NA,11
8,4,"put","spoon","table","on",NA,12
8,4,"pickup","spoon","table","from",NA,13
8,4,"pickup","shaker","table","from",NA,14
8,4,"pour","sugar","mug","into",NA,15
8,4,"put","shaker","table","on",NA,16
8,4,"mix","tea","mug","in",NA,17
8,4,"put","spoon","table","on",NA,18
8,4,"pickup","mug","table","from",NA,19
8,4,"drink",NA,NA,NA,NA,20
