"subject","trial","action","object","location","relation","...7","step"
5,2,"stepnear",NA,NA,NA,NA,1
5,2,"pickup","teabag","box","from",NA,2
5,2,"put","teabag","mug","into",NA,3
5,2,"pickup","kettle","table","from",NA,4
5,2,"pickup","mug","table","from",NA,5
5,2,"pour","water","mug","into",NA,6
5,2,"put","kettle","table","on",NA,7
5,2,"put","mug","table","on",NA,8
5,2,"pickup","teabag","mug","from",NA,9
5,2,"put","teabag","cup","into",NA,10
5,2,"pickup","mug","table","from",NA,11
5,2,"drink",NA,NA,NA,NA,12
