"subject","trial","action","object","location","relation","...7","step"
4,9,"stepnear",NA,NA,NA,NA,1
4,9,"pickup","shaker","table","from",NA,2
4,9,"pour","sugar","mug","into",NA,3
4,9,"put","shaker","table","on",NA,4
4,9,"pickup","teabag","box","from",NA,5
4,9,"put","teabag","mug","into",NA,6
4,9,"pickup","kettle","table","from",NA,7
4,9,"pour","water","mug","into",NA,8
4,9,"put","kettle","table","on",NA,9
4,9,"pickup","spoon","table","from",NA,10
4,9,"mix","tea","mug","in",NA,11
4,9,"pickup","teabag","mug","from",NA,12
4,9,"put","teabag","cup","into",NA,13
4,9,"put","spoon","table","on",NA,14
4,9,"pickup","mug","table","from",NA,15
4,9,"drink",NA,NA,NA,NA,16
