"subject","trial","action","object","location","relation","...7","step"
1,8,"stepnear",NA,NA,NA,NA,1
1,8,"pickup","kettle","table","from",NA,2
1,8,"pickup","mug","table","from",NA,3
1,8,"pour","water","mug","into",NA,4
1,8,"put","kettle","table","on",NA,5
1,8,"put","mug","table","on",NA,6
1,8,"pickup","teabag","box","from",NA,7
1,8,"put","teabag","mug","into",NA,8
1,8,"pickup","shaker","table","from",NA,9
1,8,"pour","sugar","mug","into",NA,10
1,8,"put","shaker","table","on",NA,11
1,8,"pickup","teabag","mug","from",NA,12
1,8,"put","teabag","cup","into",NA,13
1,8,"pickup","mug","table","from",NA,14
1,8,"drink",NA,NA,NA,NA,15
