"subject","trial","action","object","location","relation","...7","step"
7,1,"stepnear",NA,NA,NA,NA,1
7,1,"pickup","kettle","table","from",NA,2
7,1,"pour","water","mug","into",NA,3
7,1,"put","kettle","table","on",NA,4
7,1,"pickup","teabag","box","from",NA,5
7,1,"put","teabag","mug","into",NA,6
7,1,"pickup","spoon","table","from",NA,7
7,1,"mix","tea","mug","in",NA,8
7,1,"put","spoon","table","on",NA,9
7,1,"pickup","shaker","table","from",NA,10
7,1,"pour","sugar","mug","into",NA,11
7,1,"put","shaker","table","on",NA,12
7,1,"pickup","spoon","table","from",NA,13
7,1,"mix","tea","mug","in",NA,14
7,1,"put","spoon","table","on",NA,15
7,1,"pickup","mug","table","from",NA,16
7,1,"drink",NA,NA,NA,NA,17
