"subject","trial","action","object","location","relation","...7","step"
3,8,"stepnear",NA,NA,NA,NA,1
3,8,"pickup","kettle","table","from",NA,2
3,8,"pour","water","mug","into",NA,3
3,8,"put","kettle","table","on",NA,4
3,8,"pickup","teabag","box","from",NA,5
3,8,"put","teabag","mug","into",NA,6
3,8,"pickup","shaker","table","from",NA,7
3,8,"pour","sugar","mug","into",NA,8
3,8,"put","shaker","table","on",NA,9
3,8,"pickup","spoon","table","from",NA,10
3,8,"mix","tea","mug","in",NA,11
3,8,"put","spoon","table","on",NA,12
3,8,"pickup","teabag","mug","from",NA,13
3,8,"put","teabag","cup","into",NA,14
3,8,"pickup","mug","table","from",NA,15
3,8,"drink",NA,NA,NA,NA,16
