"subject","trial","action","object","location","relation","...7","step"
2,6,"stepnear",NA,NA,NA,NA,1
2,6,"pickup","teabag","box","from",NA,2
2,6,"put","teabag","mug","into",NA,3
2,6,"pickup","kettle","table","from",NA,4
2,6,"pour","water","mug","into",NA,5
2,6,"put","kettle","table","on",NA,6
2,6,"pickup","shaker","table","from",NA,7
2,6,"pour","sugar","mug","into",NA,8
2,6,"put","shaker","table","on",NA,9
2,6,"pickup","spoon","table","from",NA,10
2,6,"mix","tea","mug","in",NA,11
2,6,"pickup","mug","table","from",NA,12
2,6,"put","spoon","table","on",NA,13
2,6,"drink",NA,NA,NA,NA,14
