"subject","trial","action","object","location","relation","...7","step"
7,6,"stepnear",NA,NA,NA,NA,1
7,6,"pickup","kettle","table","from",NA,2
7,6,"pickup","mug","table","from",NA,3
7,6,"pour","water","mug","into",NA,4
7,6,"put","kettle","table","on",NA,5
7,6,"put","mug","table","on",NA,6
7,6,"pickup","teabag","box","from",NA,7
7,6,"put","teabag","mug","into",NA,8
7,6,"pickup","spoon","table","from",NA,9
7,6,"mix","tea","mug","in",NA,10
7,6,"put","spoon","table","on",NA,11
7,6,"pickup","teabag","mug","from",NA,12
7,6,"put","teabag","cup","into",NA,13
7,6,"pickup","shaker","table","from",NA,14
7,6,"pour","sugar","mug","into",NA,15
7,6,"put","shaker","table","on",NA,16
7,6,"pickup","spoon","table","from",NA,17
7,6,"mix","tea","mug","in",NA,18
7,6,"put","spoon","table","on",NA,19
7,6,"pickup","mug","table","from",NA,20
7,6,"drink",NA,NA,NA,NA,21
