"subject","trial","action","object","location","relation","...7","step"
5,3,"stepnear",NA,NA,NA,NA,1
5,3,"pickup","mug","table","from",NA,2
5,3,"put","mug","table","on",NA,3
5,3,"pickup","kettle","table","from",NA,4
5,3,"pickup","mug","table","from",NA,5
5,3,"pour","water","mug","into",NA,6
5,3,"put","kettle","table","on",NA,7
5,3,"put","mug","table","on",NA,8
5,3,"pickup","teabag","box","from",NA,9
5,3,"put","teabag","mug","into",NA,10
5,3,"pickup","shaker","table","from",NA,11
5,3,"pour","sugar","mug","into",NA,12
5,3,"put","shaker","table","on",NA,13
5,3,"pickup","spoon","table","from",NA,14
5,3,"mix","tea","mug","in",NA,15
5,3,"put","spoon","table","on",NA,16
5,3,"pickup","mug","table","from",NA,17
5,3,"drink",NA,NA,NA,NA,18
